id,title,content,type,author_id,created_at
1,Sustainability Tips,Tips for sustainable living,article,2,4/18/2025 10:00
2,Eco-Friendly Events,Upcoming eco-friendly events,event,3,4/18/2025 10:05
3,How to Recycle,Learn how to recycle effectively,article,1,4/18/2025 10:10
4,Green Living Workshop,Join our green living workshop,event,2,4/18/2025 10:15
5,Benefits of Upcycling,Why upcycling is important,article,5,4/18/2025 10:20
6,Eco-Products Sale,Eco-friendly products sale event,event,6,4/18/2025 10:25
7,Zero-Waste Lifestyle,The zero-waste lifestyle explained,article,3,4/18/2025 10:30
8,Tree Planting Event,Tree planting event at the park,event,4,4/18/2025 10:35
9,Plastic-Free Future,A future without plastic,article,2,4/18/2025 10:40
10,Eco-Friendly Fashion,Sustainable fashion for the future,article,6,4/18/2025 10:45
