id,name,description,category,price,tags,stock,seller_id,created_at
1,ReCircle Bag,A stylish bag,fashion,25.99,"eco, trendy",100,2,4/18/2025 10:00
2,Wooden Table,Elegant wooden table,furniture,150.5,"eco, wood",50,3,4/18/2025 10:05
3,Ceramic Mug,Unique design mug,kitchen,10.75,"ceramic, kitchen",200,2,4/18/2025 10:10
4,Running Shoes,Comfortable shoes,fashion,45,"sport, shoes",75,1,4/18/2025 10:15
5,Desk Lamp,LED desk lamp,office,19.99,"led, office",120,1,4/18/2025 10:20
6,Eco Backpack,Durable eco backpack,fashion,35.5,"eco, backpack",80,3,4/18/2025 10:25
7,Leather Wallet,Premium leather wallet,fashion,65,"leather, wallet",60,2,4/18/2025 10:30
8,Wooden Chair,Comfortable chair,furniture,120,"wood, furniture",40,1,4/18/2025 10:35
9,Organic T-shirt,Soft organic cotton t-shirt,fashion,22,"cotton, t-shirt",150,1,4/18/2025 10:40
10,Speaker Set,Wireless speaker set,electronics,99.99,"speaker, wireless",30,3,4/18/2025 10:45
